index,titulo,resumo,URL
13,Moraes multa X em R$ 8 milhões por não fornecer dados de Allan dos Santos,"Ministro determinou, em outubro, que rede social fornecesse dados cadastrais de uma conta de Allan dos Santos. A decisão foi descumprida pela rede do bilionário Elon Musk.",https://g1.globo.com/politica/noticia/2025/02/20/moraes-manda-x-pagar-multa-de-r-8-milhoes-por-nao-fornecer-dados-cadastrais-de-allan-dos-santos.ghtml
14,Carnaval inclusivo: blocos de SP celebram PCDs e LGBT+,"Os blocos Ezatamentchy e Fico desfilam neste fim de semana no Centro e na Zona Sul, respectivamente.",https://g1.globo.com/sp/sao-paulo/carnaval/2025/noticia/2025/02/20/carnaval-inclusivo-blocos-que-saem-neste-fim-de-semana-em-sp-celebram-comunidades-de-pessoas-com-deficiencia-e-lgbtqia.ghtml
15,"Diretor explica por que 'O brutalista' é tão longo: 'Às vezes, mais é mais'","'Não sei o que todo mundo está fazendo com o seu tempo que é tão precioso', diz Brady Corbet em entrevista ao g1. Filme com dez indicações ao Oscar estreia nesta quinta-feira (20).",https://g1.globo.com/pop-arte/cinema/noticia/2025/02/20/por-que-o-brutalista-e-tao-longo-diretor-explica-duracao-de-3h35-do-filme-as-vezes-mais-e-mais.ghtml
16,Por que transtornos mentais se tornaram comuns entre famosos da música,"No g1 Ouviu, podcast de música do g1, cantores relembraram episódios de angústia nos bastidores e refletiram como a fama pode afetar a saúde mental; veja VÍDEO",https://g1.globo.com/pop-arte/musica/noticia/2025/02/20/por-que-depressao-e-ansiedade-entre-nomes-da-musica-pode-ser-mais-comum-do-que-voce-imagina.ghtml
17,Homem que devolveu R$ 131 milhões vai pedir recompensa a banco na Justiça,Primeira audiência de conciliação aconteceu sem apresentação de proposta por parte do banco. Antônio Pereira do Nascimento afirma que sofreu abalos emocionais e cobranças indevidas após receber quantia milionária por erro bancário.,https://g1.globo.com/to/tocantins/noticia/2025/02/19/sem-acordo-com-banco-motorista-que-recebeu-r-131-milhoes-por-engano-vai-seguir-com-pedido-de-10percent-de-recompensa-diz-defesa.ghtml
18,Como exército rebelde budista ajudou a resgatar brasileiros escravizados,Pressão do governo da Tailândia e de organizações da sociedade civil levou o Exército Democrático Budista dos Karen a participar do resgate de centenas de imigrantes traficados em região de instabilidade e conflito étnico.,https://g1.globo.com/mundo/noticia/2025/02/20/como-um-exercito-rebelde-budista-ajudou-a-resgatar-os-brasileiros-escravizados-por-mafia-de-golpes-ciberneticos.ghtml
19,$LIBRA e $TRUMP: por que investir em memecoins tem tantos riscos,"Escândalo envolvendo o presidente da Argentina, Javier Milei, chamou novamente atenção para o assunto. As memecoins costumam ter um ciclo de vida curto e têm cotações muito voláteis, o que faz com que sejam grandes as chances de prejuízos aos investidores.",https://g1.globo.com/economia/educacao-financeira/noticia/2025/02/20/libra-trump-dogecoin-por-que-investir-em-memecoins-tem-tantos-riscos.ghtml
20,EUA pedem para Zelensky 'baixar tom' e assinar acordo sobre minerais,"Em entrevista, o principal conselheiro de segurança de Donald Trump afirmou que as críticas da Ucrânia aos Estados Unidos são ""inaceitáveis"". Presidente ucraniano se encontrou com enviado especial de Washington nesta quinta (20).",https://g1.globo.com/mundo/noticia/2025/02/20/eua-pede-para-zelensky-baixar-o-tom-e-assinar-rapidamente-acordo-sobre-minerais-proposto.ghtml
21,Dirigente é condenado a pagar multa por beijar jogadora na final da Copa,Justiça entendeu que beijo do ex-presidente da Federação Espanhola de Futebol na final da Copa do Mundo feminina ocorreu sem consentimento. Tribunal absolveu o ex-dirigente da acusação de coerção.,https://g1.globo.com/mundo/noticia/2025/02/20/justica-da-espanha-considera-luis-rubiales-culpado-por-beijo-forcado-em-jogadora-jenni-hermoso.ghtml
22,Arqueólogos encontram 1º túmulo de faraó no Egito em mais de um século,"Pesquisadores encontraram os restos mumificados de Tutmés II há quase dois séculos, mas seu local de sepultamento original nunca havia sido identificado.",https://g1.globo.com/ciencia/noticia/2025/02/20/arqueologos-descobrem-o-primeiro-tumulo-de-farao-no-egito-em-mais-de-um-seculo.ghtml
